iter	RMSE
0	0.2704084144
1	0.2687895341
2	0.2672486965
3	0.2658230223
4	0.2644976816
5	0.2632149372
6	0.2620892827
7	0.2610342341
8	0.2600600314
9	0.2591095487
10	0.2582654839
11	0.2575110526
12	0.2567240827
13	0.2560410021
14	0.2553539273
15	0.2547611901
16	0.2541663943
17	0.2536044027
18	0.2530380735
19	0.2525116858
20	0.2520108673
21	0.2515449728
22	0.2510665466
23	0.2506584163
24	0.2502444826
25	0.2498314843
26	0.2494560635
27	0.2491289671
28	0.2488452001
29	0.2485110839
30	0.2482219338
31	0.2479037811
32	0.2476505508
33	0.2473363758
34	0.2470455076
35	0.2467683433
36	0.2464551744
37	0.2462201559
38	0.2459692034
39	0.2456960387
40	0.2454137714
41	0.2452036848
42	0.2449670523
43	0.2446785259
44	0.2444210484
45	0.2441659227
46	0.2439833598
47	0.2437580722
48	0.2435152678
49	0.2433354199
50	0.2430928326
51	0.2428648573
52	0.2426812575
53	0.2424851084
54	0.2422245995
55	0.2420289366
56	0.2418162793
57	0.2416325161
58	0.2414300728
59	0.2411743118
60	0.241040473
61	0.2409009395
62	0.2406901912
63	0.2404972649
64	0.2403370083
65	0.2401265594
66	0.2399677921
67	0.2397777315
68	0.2396294247
69	0.2394850377
70	0.2393758025
71	0.2391582065
72	0.2389905393
73	0.2388663308
74	0.2386999877
75	0.2385330645
76	0.2383494079
77	0.2381775727
78	0.2380074734
79	0.2379364366
80	0.2378085585
81	0.2376659386
82	0.2374971088
83	0.2373478631
84	0.2372098502
85	0.2371106799
86	0.236981621
87	0.2368489921
88	0.236787294
89	0.2366701079
90	0.2365387478
91	0.2364329619
92	0.2363134577
93	0.2361363017
94	0.2359820244
95	0.2358693
96	0.2357410798
97	0.2356721975
98	0.2355537868
99	0.2354983488
100	0.2353924954
101	0.2353365591
102	0.2351631532
103	0.2350882521
104	0.235014309
105	0.2349239849
106	0.2347548884
107	0.2345946738
108	0.2344725757
109	0.2343672939
110	0.2343026308
111	0.2341968905
112	0.2340735788
113	0.2339020253
114	0.2337920146
115	0.233695505
116	0.2335377297
117	0.2334052323
118	0.2332947149
119	0.2332199003
120	0.2331241538
121	0.2329921185
122	0.2328982601
