iter	Passed	Remaining
0	8	11959
1	15	10213
2	22	10100
3	28	9710
4	35	9643
5	41	9427
6	47	9281
7	54	9217
8	60	9096
9	67	9061
10	73	9018
11	79	8988
12	86	8992
13	92	8929
14	98	8863
15	105	8894
16	112	8898
17	119	8936
18	125	8892
19	131	8853
20	139	8896
21	145	8871
22	152	8898
23	158	8859
24	164	8809
25	171	8835
26	177	8797
27	184	8794
28	191	8780
29	197	8760
30	204	8776
31	210	8764
32	218	8787
33	224	8780
34	231	8765
35	238	8787
36	245	8776
37	252	8787
38	258	8763
39	264	8740
40	271	8747
41	277	8732
42	285	8749
43	291	8736
44	297	8716
45	304	8720
46	311	8704
47	317	8704
48	324	8688
49	330	8670
50	338	8693
51	344	8681
52	352	8697
53	357	8669
54	363	8647
55	370	8651
56	380	8707
57	387	8722
58	393	8691
59	402	8725
60	408	8701
61	414	8688
62	420	8675
63	427	8665
64	433	8656
65	439	8632
66	445	8611
67	453	8620
68	459	8603
69	465	8590
70	471	8576
71	477	8553
72	484	8547
73	490	8538
74	496	8523
75	503	8519
76	509	8506
77	516	8503
78	522	8489
79	528	8476
80	535	8470
81	541	8451
82	548	8451
83	554	8439
84	561	8430
85	568	8427
86	574	8413
87	580	8405
88	589	8436
89	599	8479
90	605	8462
91	612	8450
92	619	8447
93	625	8438
94	632	8434
95	638	8417
96	644	8403
97	653	8426
98	663	8460
99	669	8450
100	675	8437
101	682	8427
102	687	8408
103	693	8393
104	700	8389
105	706	8375
106	714	8375
107	720	8363
108	725	8344
109	732	8336
110	738	8319
111	744	8303
112	750	8294
113	756	8280
114	762	8272
115	769	8265
116	775	8251
117	782	8244
118	788	8231
119	794	8219
120	801	8219
121	807	8204
122	813	8193
123	819	8180
124	825	8167
125	832	8166
126	838	8151
127	844	8140
128	851	8138
129	857	8130
130	865	8130
131	871	8119
132	877	8108
133	884	8107
134	890	8094
135	897	8094
136	903	8081
137	910	8074
138	917	8068
139	923	8057
140	929	8050
141	935	8040
142	941	8027
143	948	8019
144	953	8006
145	959	7995
146	965	7977
147	971	7965
148	977	7954
149	984	7951
150	989	7939
151	996	7932
152	1002	7923
153	1008	7912
154	1014	7903
155	1020	7889
156	1026	7879
157	1033	7878
158	1040	7868
159	1046	7863
160	1052	7848
161	1058	7839
162	1064	7833
163	1070	7816
164	1075	7801
165	1081	7795
166	1088	7787
167	1094	7777
168	1100	7768
169	1104	7745
170	1111	7741
171	1117	7729
172	1122	7715
173	1130	7715
174	1135	7703
175	1141	7691
176	1146	7675
177	1152	7664
178	1157	7652
179	1165	7650
180	1171	7640
181	1177	7633
182	1183	7624
183	1189	7615
184	1196	7612
185	1202	7600
186	1207	7589
187	1214	7584
188	1218	7562
189	1224	7552
190	1230	7546
191	1237	7538
192	1243	7529
193	1250	7526
194	1255	7511
195	1260	7500
196	1267	7493
197	1271	7473
198	1282	7492
199	1289	7490
200	1298	7502
201	1308	7513
202	1318	7526
203	1324	7516
204	1330	7509
205	1336	7501
206	1343	7493
207	1347	7473
208	1353	7465
209	1358	7453
210	1365	7447
211	1371	7437
212	1376	7427
213	1382	7418
214	1388	7407
215	1394	7401
216	1400	7390
217	1406	7382
218	1412	7370
219	1417	7359
220	1422	7343
221	1429	7340
222	1435	7330
223	1441	7322
224	1447	7312
225	1453	7305
226	1461	7306
227	1471	7320
228	1479	7319
229	1485	7309
230	1491	7301
231	1497	7294
232	1503	7285
233	1511	7285
234	1521	7296
235	1526	7285
236	1532	7276
237	1539	7268
238	1545	7263
239	1551	7255
240	1555	7236
241	1561	7227
242	1567	7217
243	1573	7208
244	1580	7205
245	1586	7198
246	1593	7194
247	1600	7187
248	1605	7177
249	1611	7167
250	1617	7157
251	1622	7148
252	1630	7145
253	1637	7143
254	1643	7136
255	1648	7123
256	1654	7115
257	1661	7108
258	1665	7092
259	1670	7081
260	1677	7077
261	1682	7063
262	1688	7055
263	1693	7043
264	1699	7037
265	1706	7029
266	1712	7021
267	1717	7012
268	1724	7007
269	1729	6996
270	1737	6994
271	1744	6991
272	1750	6983
273	1757	6978
274	1764	6975
275	1770	6967
276	1779	6968
277	1784	6959
278	1792	6957
279	1797	6947
280	1803	6938
281	1810	6932
282	1815	6923
283	1822	6917
284	1829	6913
285	1835	6905
286	1842	6899
287	1847	6890
288	1852	6878
289	1859	6872
290	1864	6861
291	1869	6852
292	1876	6847
293	1882	6838
294	1887	6827
295	1894	6821
296	1899	6812
297	1906	6806
298	1912	6799
299	1918	6790
300	1925	6786
301	1930	6776
302	1935	6766
303	1941	6757
304	1947	6749
305	1953	6741
306	1960	6735
307	1965	6727
308	1974	6729
309	1979	6716
310	1985	6708
311	1990	6700
312	1997	6693
313	2003	6685
314	2009	6679
315	2016	6673
316	2022	6668
317	2028	6659
318	2034	6651
319	2040	6645
320	2047	6638
321	2051	6626
322	2058	6621
323	2064	6614
